dlls/kernel32/tests/heap.ok          HEAP                       
dlls/ntdll/tests/exception.ok        MAC106                     
dlls/d3d8/tests/stateblock.ok        MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d8/tests/texture.ok           MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d9/tests/shader.ok            MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d9/tests/texture.ok           MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3dcompiler_43/tests/hlsl.ok    MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3dx9_36/tests/texture.ok       MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/ddrawex/tests/ddrawex.ok        MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d8/tests/surface.ok           MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d9/tests/d3d9ex.ok            MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d9/tests/volume.ok            MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/ddraw/tests/overlay.ok          MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d9/tests/vertexdeclaration.ok MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3dx9_36/tests/surface.ok       MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3dx9_36/tests/core.ok          MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d8/tests/buffer.ok            MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d9/tests/surface.ok           MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3dx9_36/tests/effect.ok        MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/opengl32/tests/opengl.ok        MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d9/tests/stateblock.ok        MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/ddrawex/tests/surface.ok        MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d8/tests/volume.ok            MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3dx9_36/tests/mesh.ok          MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3dx9_36/tests/effect.ok        MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/ddraw/tests/dsurface.ok         MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/ddraw/tests/refcount.ok         MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d9/tests/buffer.ok            MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d8/tests/visual.ok            MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/ddraw/tests/ddrawmodes.ok       MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3d9/tests/vertexdeclaration.ok MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3dx9_36/tests/shader.ok        MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/d3dx9_36/tests/line.ok          MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/ddraw/tests/d3d.ok              MAC            http://xquartz.macosforge.org/trac/ticket/512
dlls/dsound/tests/ds3d8.ok           PULSE          8668        
dlls/dsound/tests/ds3d.ok            PULSE          8668        
dlls/dsound/tests/dsound8.ok         PULSE          8668        
dlls/dsound/tests/dsound.ok          PULSE          8668        
dlls/user32/tests/input.ok           SYS            12053       
dlls/user32/tests/msg.ok             SYS            12053       
dlls/user32/tests/win.ok             SYS            12053       
dlls/kernel32/tests/change.ok        FREEBSD        12840       
dlls/kernel32/tests/change.ok        MAC            12840       
dlls/ddraw/tests/visual.ok           MACATI         12842       
dlls/ntdll/tests/change.ok           FREEBSD        12854       
dlls/ntdll/tests/change.ok           MAC            12854       
dlls/ntdll/tests/exception.ok        FREEBSD        12891       
dlls/kernel32/tests/thread.ok        FREEBSD        12894       
dlls/ws2_32/tests/sock.ok            MAC            14831       
dlls/ntdll/tests/file.ok             FLAKY          14841       
dlls/gdi32/tests/path.ok             FREEBSD        15538       
dlls/quartz/tests/referencemapper.ok FREEBSD        15539       
dlls/user32/tests/static.ok          FLAKY          20149       
dlls/dsound/tests/capture.ok         VALGRIND       20919       
dlls/dsound/tests/dsound8.ok         VALGRIND       20919       
